Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R19,10k,R_0603_1608Metric,107.0,-100.5,270.0,bottom
R2,47k,R_0603_1608Metric,97.0,-106.0,0.0,bottom
R20,1k,R_0603_1608Metric,106.0,-97.5,270.0,bottom
R21,1k,R_0603_1608Metric,101.5,-89.5,180.0,bottom
R22,1k,R_0603_1608Metric,147.5,-89.5,180.0,bottom
R23,10k,R_0603_1608Metric,111.175,-106.0,0.0,bottom
R24,1k,R_0603_1608Metric,113.5,-104.5,270.0,bottom
R25,1k,R_0603_1608Metric,140.5,-90.0,270.0,bottom
R26,2m,R_1020_2550Metric,139.5,-124.0,90.0,bottom
R27,10,R_0603_1608Metric,104.0,-73.0,270.0,bottom
R28,100,R_0603_1608Metric,133.0,-106.5,180.0,bottom
R29,10,R_0603_1608Metric,146.0,-73.0,270.0,bottom
R3,4.7k,R_0603_1608Metric,97.0,-104.0,0.0,bottom
R30,10k,R_0603_1608Metric,129.0,-116.5,270.0,bottom
R31,1k,R_0603_1608Metric,133.0,-108.0,0.0,bottom
R32,1k,R_0603_1608Metric,133.0,-114.5,270.0,bottom
R33,10,R_0603_1608Metric,104.0,-59.5,270.0,bottom
R34,10,R_0603_1608Metric,146.0,-66.0,270.0,bottom
R35,100k,R_0603_1608Metric,133.0,-122.5,180.0,bottom
R36,100k,R_0603_1608Metric,133.0,-124.0,180.0,bottom
R37,1M,R_1206_3216Metric,110.0,-55.9,270.0,bottom
R38,4.7k,R_0603_1608Metric,110.0,-93.0,270.0,bottom
R39,10,R_0603_1608Metric,104.0,-66.0,270.0,bottom
R4,4.7k,R_0603_1608Metric,97.0,-102.0,0.0,bottom
R40,10,R_0603_1608Metric,146.0,-59.0,270.0,bottom
R41,100,R_0603_1608Metric,132.0,-136.5,90.0,bottom
R42,1k,R_0603_1608Metric,132.0,-139.0,0.0,bottom
R43,4.7k,R_0603_1608Metric,131.0,-112.5,270.0,bottom
R44,4.7k,R_0603_1608Metric,97.0,-94.0,0.0,bottom
R45,1,R_0603_1608Metric,118.0,-96.5,0.0,bottom
R5,4.7k,R_0603_1608Metric,97.0,-100.0,0.0,bottom
