Designator,Mid X,Mid Y,Rotation,Layer
Q8,100.5,-66.0,0.0,bottom
Q9,149.5,-59.0,180.0,bottom
R1,152.0,-97.0,90.0,bottom
R10,105.0,-109.0,180.0,bottom
R11,128.0,-90.5,270.0,bottom
R12,104.9775,-102.5,90.0,bottom
R13,151.5,-103.0,90.0,bottom
R14,147.5,-108.5,90.0,bottom
R15,151.0,-106.5,90.0,bottom
R16,144.0,-103.5,90.0,bottom
R17,97.0,-96.0,0.0,bottom
R18,107.0,-103.5,270.0,bottom
R19,107.0,-100.5,270.0,bottom
R2,97.0,-106.0,0.0,bottom
R20,106.0,-97.5,270.0,bottom
R21,101.5,-89.5,180.0,bottom
R22,147.5,-89.5,180.0,bottom
R23,111.175,-106.0,0.0,bottom
R24,113.5,-104.5,270.0,bottom
R25,140.5,-90.0,270.0,bottom
R26,139.5,-124.0,90.0,bottom
R27,104.0,-73.0,270.0,bottom
R28,133.0,-106.5,180.0,bottom
R29,146.0,-73.0,270.0,bottom
R3,97.0,-104.0,0.0,bottom
R30,129.0,-116.5,270.0,bottom
R31,133.0,-108.0,0.0,bottom
R32,133.0,-114.5,270.0,bottom
R33,104.0,-59.5,270.0,bottom
R34,146.0,-66.0,270.0,bottom
R35,133.0,-122.5,180.0,bottom
R36,133.0,-124.0,180.0,bottom
R37,110.0,-55.9,270.0,bottom
R38,110.0,-93.0,270.0,bottom
R39,104.0,-66.0,270.0,bottom
R4,97.0,-102.0,0.0,bottom
R40,146.0,-59.0,270.0,bottom
R41,132.0,-136.5,90.0,bottom
R42,132.0,-139.0,0.0,bottom
R43,131.0,-112.5,270.0,bottom
R44,97.0,-94.0,0.0,bottom
R45,118.0,-96.5,0.0,bottom
R5,97.0,-100.0,0.0,bottom
R6,97.0,-98.0,0.0,bottom
R7,120.5,-117.5,180.0,bottom
R8,106.0,-113.5,0.0,bottom
R9,138.0,-106.0,90.0,bottom
SW1,159.5,-98.5,0.0,top
SW2,89.0,-93.5,180.0,top
SW3,90.0,-98.5,180.0,top
SW4,160.5,-93.5,0.0,top
TH1,127.0,-78.0,90.0,bottom
U1,126.5,-99.0,90.0,bottom
U2,111.0,-111.5,0.0,bottom
U3,124.0,-119.5,180.0,bottom
X1,118.0,-99.5,270.0,bottom
